46,INC,ESI,-1,-1,1
5E,POP,ESI,-1,-1,1
56,PUSH,ESI,-1,-1,1
0FCC,BSWAP,ESP,-1,-1,1
4C,DEC,ESP,-1,-1,1
44,INC,ESP,-1,-1,1
5C,POP,ESP,-1,-1,1
54,PUSH,ESP,-1,-1,1
0FA1,POP,FS,-1,-1,1
0FA0,PUSH,FS,-1,-1,1
0FA9,POP,GS,-1,-1,1
0FA8,PUSH,GS,-1,-1,1
17,POP,SS,-1,-1,1
16,PUSH,SS,-1,-1,1
0F20,MOV,Rd,Cd,-1,1
0F21,MOV,Rd,Dd,-1,1
12,ADC,Gb,Eb,-1,1
2,ADD,Gb,Eb,-1,1
22,AND,Gb,Eb,-1,1
3A,CMP,Gb,Eb,-1,1
8A,MOV,Gb,Eb,-1,1
0A,OR,Gb,Eb,-1,1
1A,SBB,Gb,Eb,-1,1
2A,SUB,Gb,Eb,-1,1
86,XCHG,Gb,Eb,-1,1
32,XOR,Gb,Eb,-1,1
13,ADC,Gv,Ev,-1,1
3,ADD,Gv,Ev,-1,1
23,AND,Gv,Ev,-1,1
0FBC,BSF,Gv,Ev,-1,1
0FBD,BSR,Gv,Ev,-1,1
0F40,CMOVcc,Gv,Ev,-1,1
0F41,CMOVcc,Gv,Ev,-1,1
0F42,CMOVcc,Gv,Ev,-1,1
0F43,CMOVcc,Gv,Ev,-1,1
0F44,CMOVcc,Gv,Ev,-1,1
0F45,CMOVcc,Gv,Ev,-1,1
0F46,CMOVcc,Gv,Ev,-1,1
0F47,CMOVcc,Gv,Ev,-1,1
0F48,CMOVcc,Gv,Ev,-1,1
0F49,CMOVcc,Gv,Ev,-1,1
0F4A,CMOVcc,Gv,Ev,-1,1
0F4B,CMOVcc,Gv,Ev,-1,1
0F4C,CMOVcc,Gv,Ev,-1,1
0F4D,CMOVcc,Gv,Ev,-1,1
0F4E,CMOVcc,Gv,Ev,-1,1
0F4F,CMOVcc,Gv,Ev,-1,1
3B,CMP,Gv,Ev,-1,1
8B,MOV,Gv,Ev,-1,1
0B,OR,Gv,Ev,-1,1
1B,SBB,Gv,Ev,-1,1
2B,SUB,Gv,Ev,-1,1
87,XCHG,Gv,Ev,-1,1
33,XOR,Gv,Ev,-1,1
8E,MOV,Sw,Ew,-1,1
10,ADC,Eb,Gb,-1,1
0,ADD,Eb,Gb,-1,1
20,AND,Eb,Gb,-1,1
38,CMP,Eb,Gb,-1,1
88,MOV,Eb,Gb,-1,1
8,OR,Eb,Gb,-1,1
18,SBB,Eb,Gb,-1,1
28,SUB,Eb,Gb,-1,1
84,TEST,Eb,Gb,-1,1
30,XOR,Eb,Gb,-1,1
11,ADC,Ev,Gv,-1,1
1,ADD,Ev,Gv,-1,1
21,AND,Ev,Gv,-1,1
0FA3,BT,Ev,Gv,-1,1
0FB3,BTR,Ev,Gv,-1,1
0FAB,BTS,Ev,Gv,-1,1
39,CMP,Ev,Gv,-1,1
89,MOV,Ev,Gv,-1,1
9,OR,Ev,Gv,-1,1
19,SBB,Ev,Gv,-1,1
29,SUB,Ev,Gv,-1,1
85,TEST,Ev,Gv,-1,1
31,XOR,Ev,Gv,-1,1
C6,MOV,Eb,Ib,-1,1
AD04,BT,Ev,Ib,-1,1
AD05,BTS,Ev,Ib,-1,1
AD06,BTR,Ev,Ib,-1,1
AD07,BTC,Ev,Ib,-1,1
C8,ENTER,Iw,Ib,-1,1
B4,MOV,AH,Ib,-1,1
14,ADC,AL,Ib,-1,1
4,ADD,AL,Ib,-1,1
24,AND,AL,Ib,-1,1
3C,CMP,AL,Ib,-1,1
E4,IN,AL,Ib,-1,1
B0,MOV,AL,Ib,-1,1
0C,OR,AL,Ib,-1,1
1C,SBB,AL,Ib,-1,1
2C,SUB,AL,Ib,-1,1
A8,TEST,AL,Ib,-1,1
34,XOR,AL,Ib,-1,1
B7,MOV,BH,Ib,-1,1
B3,MOV,BL,Ib,-1,1
B5,MOV,CH,Ib,-1,1
B1,MOV,CL,Ib,-1,1
B6,MOV,DH,Ib,-1,1
B2,MOV,DL,Ib,-1,1
E5,IN,EAX,Ib,-1,1
C7,MOV,Ev,Iv,-1,1
15,ADC,EAX,Iv,-1,1
5,ADD,EAX,Iv,-1,1
25,AND,EAX,Iv,-1,1
3D,CMP,EAX,Iv,-1,1
B8,MOV,EAX,Iv,-1,1
0D,OR,EAX,Iv,-1,1
1D,SBB,EAX,Iv,-1,1
2D,SUB,EAX,Iv,-1,1
A9,TEST,EAX,Iv,-1,1
35,XOR,EAX,Iv,-1,1
BD,MOV,EBP,Iv,-1,1
BB,MOV,EBX,Iv,-1,1
B9,MOV,ECX,Iv,-1,1
BF,MOV,EDI,Iv,-1,1
BA,MOV,EDX,Iv,-1,1
BE,MOV,ESI,Iv,-1,1
BC,MOV,ESP,Iv,-1,1
0F8A,JP,Jv,-1,-1,1
8D,LEA,Gv,M,-1,1
62,BOUND,Gv,Ma,-1,1
C5,LDS,Gv,Mp,-1,1
C4,LES,Gv,Mp,-1,1
0FB4,LFS,Gv,Mp,-1,1
0FB5,LGS,Gv,Mp,-1,1
0FB2,LSS,Gv,Mp,-1,1
A0,MOV,AL,Ob,-1,1
A1,MOV,EAX,Ov,-1,1
0F22,MOV,Cd,Rd,-1,1
0F23,MOV,Dd,Rd,-1,1
8C,MOV,Ew,Sw,-1,1
6C,INS,-1,-1,-1,1
E6,OUT,Ib,AL,-1,1
A2,MOV,Ob,AL,-1,1
EE,OUT,DX,AL,-1,1
EC,IN,AL,DX,-1,1
ED,IN,EAX,DX,-1,1
E7,OUT,Ib,EAX,-1,1
A3,MOV,Ov,EAX,-1,1
EF,OUT,DX,EAX,-1,1
95,XCHG,EBP,EAX,-1,1
93,XCHG,EBX,EAX,-1,1
91,XCHG,ECX,EAX,-1,1
97,XCHG,EDI,EAX,-1,1
92,XCHG,EDX,EAX,-1,1
96,XCHG,ESI,EAX,-1,1
94,XCHG,ESP,EAX,-1,1
0FA5,SHLD,Ev,Gv,CL,1
6B,IMUL,Gv,Ev,Ib,1
0FA4,SHLD,Ev,Gv,Ib,1
0FAC,SHRD,Ev,Gv,Ib,1
69,IMUL,Gv,Ev,Iv,1
0FB6,MOVZX,Gv,Eb,-1,1
0FB7,MOVZX,Gv,Ew,-1,1
8000,ADD,Eb,Ib,-1,1
8001,OR,Eb,Ib,-1,1
8002,ADC,Eb,Ib,-1,1
8003,SBB,Eb,Ib,-1,1
8004,AND,Eb,Ib,-1,1
8005,SUB,Eb,Ib,-1,1
8006,XOR,Eb,Ib,-1,1
8007,CMP,Eb,Ib,-1,1
8100,ADD,Ev,Iv,-1,1
8101,OR,Ev,Iv,-1,1
8102,ADC,Ev,Iv,-1,1
8103,SBB,Ev,Iv,-1,1
8104,AND,Ev,Iv,-1,1
8105,SUB,Ev,Iv,-1,1
8106,XOR,Ev,Iv,-1,1
8107,CMP,Ev,Iv,-1,1
8200,ADD,Eb,Ib,-1,1
8201,OR,Eb,Ib,-1,1
8202,ADC,Eb,Ib,-1,1
8203,SBB,Eb,Ib,-1,1
8204,AND,Eb,Ib,-1,1
8205,SUB,Eb,Ib,-1,1
8206,XOR,Eb,Ib,-1,1
8207,CMP,Eb,Ib,-1,1
8300,ADD,Ev,Ib,-1,1
8301,OR,Ev,Ib,-1,1
8302,ADC,Ev,Ib,-1,1
8303,SBB,Ev,Ib,-1,1
8304,AND,Ev,Ib,-1,1
8305,SUB,Ev,Ib,-1,1
8306,XOR,Ev,Ib,-1,1
8307,CMP,Ev,Ib,-1,1
C000,ROL,Eb,Ib,-1,1
C001,ROR,Eb,Ib,-1,1
C002,RCL,Eb,Ib,-1,1
C003,RCR,Eb,Ib,-1,1
C004,SHL,Eb,Ib,-1,1
C005,SHR,Eb,Ib,-1,1
C006,SHL,Eb,Ib,-1,1
C007,SAR,Eb,Ib,-1,1
C100,ROL,Ev,Ib,-1,1
C101,ROR,Ev,Ib,-1,1
C102,RCL,Ev,Ib,-1,1
C103,RCR,Ev,Ib,-1,1
C104,SHL,Ev,Ib,-1,1
C105,SHR,Ev,Ib,-1,1
C106,SHL,Ev,Ib,-1,1
C107,SAR,Ev,Ib,-1,1
D000,ROL,Eb,1,-1,1
D001,ROR,Eb,1,-1,1
D002,RCL,Eb,1,-1,1
D003,RCR,Eb,1,-1,1
D004,SHL,Eb,1,-1,1
D005,SHR,Eb,1,-1,1
D006,SAL,Eb,1,-1,1
D007,SAR,Eb,1,-1,1
D100,ROL,Ev,1,-1,1
D101,ROR,Ev,1,-1,1
D102,RCL,Ev,1,-1,1
D103,RCR,Ev,1,-1,1
D104,SHL,Ev,1,-1,1
D105,SHR,Ev,1,-1,1
D106,SAL,Ev,1,-1,1
D107,SAR,Ev,1,-1,1
D200,ROL,Eb,CL,-1,1
D201,ROR,Eb,CL,-1,1
D202,RCL,Eb,CL,-1,1
D203,RCR,Eb,CL,-1,1
D204,SHL,Eb,CL,-1,1
D205,SHR,Eb,CL,-1,1
D206,SAL,Eb,CL,-1,1
D207,SAR,Eb,CL,-1,1
D300,ROL,Ev,CL,-1,1
D301,ROR,Ev,CL,-1,1
D302,RCL,Ev,CL,-1,1
D303,RCR,Ev,CL,-1,1
D304,SHL,Ev,CL,-1,1
D305,SHR,Ev,CL,-1,1
D306,SAL,Ev,CL,-1,1
D307,SAR,Ev,CL,-1,1
F600,TEST,Eb,Ib,-1,1
F601,TEST,Eb,Ib,-1,1
F602,NOT,Eb,-1,-1,1
F603,NEG,Eb,-1,-1,1
F604,MUL,Eb,-1,-1,1
F605,IMUL,Eb,-1,-1,1
F606,DIV,Eb,-1,-1,1
F607,IDIV,Eb,-1,-1,1
F700,TEST,Ev,Iv,-1,1
F701,TEST,Ev,Iv,-1,1
F702,NOT,Ev,-1,-1,1
F703,NEG,Ev,-1,-1,1
F704,MUL,Ev,-1,-1,1
F705,IMUL,Ev,-1,-1,1
F706,DIV,Ev,-1,-1,1
F707,IDIV,Ev,-1,-1,1
FE00,INC,Eb,-1,-1,1
FE01,DEC,Eb,-1,-1,1
FF00,INC,Ev,-1,-1,1
FF01,DEC,Ev,-1,-1,1
FF02,CALL,Ev,-1,-1,1
FF03,CALLF,Mp,-1,-1,1
FF04,JMP,Ev,-1,-1,1
FF05,JMPF,Mp,-1,-1,1
FF06,PUSH,Ev,-1,-1,1
AE01,STR,Ev,-1,-1,1
AE02,LLDT,Ew,-1,-1,1
AE03,LTR,Ew,-1,-1,1
AE04,VERR,Ew,-1,-1,1
AE05,VERW,Ew,-1,-1,1
AF00,SGDT,Ms,-1,-1,1
AF02,LGDT,Ms,-1,-1,1
AF03,LIDT,Ms,-1,-1,1
AF04,SMSW,Ew,-1,-1,1
AF06,LMSW,Ew,-1,-1,1
0FAF,IMUL,Gv,Ev,-1,1
0F90,SETcc,Eb,-1,-1,1
0F91,SETcc,Eb,-1,-1,1
0F92,SETcc,Eb,-1,-1,1
0F93,SETcc,Eb,-1,-1,1
0F94,SETcc,Eb,-1,-1,1
0F95,SETcc,Eb,-1,-1,1
0F96,SETcc,Eb,-1,-1,1
0F97,SETcc,Eb,-1,-1,1
0F98,SETcc,Eb,-1,-1,1
0F99,SETcc,Eb,-1,-1,1
0F9A,SETcc,Eb,-1,-1,1
0F9B,SETcc,Eb,-1,-1,1
0F9C,SETcc,Eb,-1,-1,1
0F9D,SETcc,Eb,-1,-1,1
0F9E,SETcc,Eb,-1,-1,1
0F9F,SETcc,Eb,-1,-1,1
0FBE,MOVSX,Gv,Eb,-1,1
0FBF,MOVSX,Gv,Ew,-1,1
63,ARPL,Ew,Gw,-1,-1,1
0FA2,CPUID,EAX,-1,-1,1
0F06,CLTS,-1,-1,-1,1
DBE4,NOP,-1,-1,-1,1
0F09,NOP,-1,-1,-1,1
0F31,RDTSC,-1,-1,-1,1
0FBB,BTC,Ev,Gv,-1,1
0FBA,BTC,Ev,Ib,-1,1
D9EE,FLDZ,-1,-1,-1,1
D9E8,FLD1,-1,-1,-1,1
DCF0,FDIVR,-1,-1,-1,1
DCF1,FDIVR,-1,-1,-1,1
DCF2,FDIVR,-1,-1,-1,1
DCF3,FDIVR,-1,-1,-1,1
DCF4,FDIVR,-1,-1,-1,1
DCF5,FDIVR,-1,-1,-1,1
DCF6,FDIVR,-1,-1,-1,1
DCF7,FDIVR,-1,-1,-1,1
DEF9,FDIVP,-1,-1,-1,1
DEFA,FDIVP,-1,-1,-1,1
DEFB,FDIVP,-1,-1,-1,1
DEFC,FDIVP,-1,-1,-1,1
DEFD,FDIVP,-1,-1,-1,1
DEFD,FDIVP,-1,-1,-1,1
DEFF,FDIVP,-1,-1,-1,1
